AQ does not have any ASNS!
BV does not have any ASNS!
CX does not have any ASNS!
CC does not have any ASNS!
TF does not have any ASNS!
HM does not have any ASNS!
PN does not have any ASNS!
SH does not have any ASNS!
GS does not have any ASNS!
SJ does not have any ASNS!
UM does not have any ASNS!
EH does not have any ASNS!
country code , number ASNs
US , 30419
BR , 8970
CN , 6726
RU , 5811
IN , 5677
ID , 3191
GB , 3134
DE , 3045
AU , 2904
PL , 2526
CA , 2345
UA , 2136
FR , 1960
BD , 1715
NL , 1563
IT , 1286
HK , 1258
JP , 1258
AR , 1257
ES , 1221
KR , 1163
RO , 1157
CH , 1053
TR , 899
SE , 871
ZA , 793
VN , 780
IR , 772
BG , 757
AT , 752
NZ , 709
CZ , 688
SG , 663
MX , 639
TH , 609
PH , 579
DK , 465
TW , 456
CO , 439
CL , 399
BE , 392
NO , 386
FI , 377
PK , 368
MY , 363
IL , 355
LV , 304
SI , 301
HU , 294
IE , 292
NG , 262
GR , 231
EC , 227
SK , 226
MD , 216
IQ , 213
EE , 207
RS , 206
LT , 205
VE , 203
KZ , 202
KE , 192
SA , 184
NP , 182
PE , 175
LB , 173
HR , 170
CY , 156
GE , 154
MM , 154
PA , 146
DO , 144
PT , 143
KH , 141
AE , 136
LU , 129
AM , 125
AL , 120
BY , 120
CR , 109
HN , 101
PR , 101
PY , 100
GH , 100
TZ , 96
UZ , 96
IS , 93
EG , 89
AZ , 84
GT , 83
KW , 79
SC , 72
AO , 69
PS , 68
MN , 67
BO , 64
MK , 64
AF , 63
KG , 62
BA , 57
UG , 55
MT , 53
JO , 51
MU , 51
CD , 50
SV , 50
UY , 43
VG , 42
BZ , 40
CW , 37
PG , 37
LA , 36
BT , 34
BW , 33
GI , 33
NI , 31
TJ , 30
ZW , 30
MW , 29
LK , 29
MZ , 29
BF , 29
CM , 29
LY , 28
ME , 28
TN , 28
RW , 28
MA , 28
LI , 27
BH , 27
IM , 26
CI , 26
SO , 24
SS , 23
ZM , 23
BM , 23
OM , 22
QA , 21
NC , 20
BJ , 19
MV , 18
FJ , 18
TD , 18
SL , 17
LR , 16
GN , 16
MO , 15
TT , 15
AG , 15
NA , 15
SN , 14
BS , 14
GA , 14
SD , 14
VU , 14
CG , 13
JM , 13
SZ , 13
JE , 13
DZ , 13
HT , 13
GM , 13
KY , 12
SM , 12
VI , 12
SB , 12
TL , 12
MG , 11
CV , 11
TG , 10
ML , 10
LS , 10
BI , 10
BN , 10
NE , 10
WS , 9
GD , 9
GG , 9
MR , 9
GP , 9
GU , 9
DM , 8
ET , 8
KN , 8
GQ , 8
BB , 8
RE , 7
MF , 7
GF , 7
CU , 7
SR , 7
GY , 7
BQ , 6
FO , 6
FM , 6
MQ , 6
PF , 6
YE , 6
LC , 6
TM , 6
TO , 5
DJ , 5
AI , 5
SY , 5
SX , 4
AW , 4
KI , 4
NR , 4
VC , 4
MC , 3
VA , 3
TV , 3
MH , 3
PW , 3
TK , 3
CF , 3
AS , 3
BL , 3
ST , 2
TC , 2
CK , 2
NF , 2
MP , 2
GW , 2
FK , 2
AD , 2
KM , 2
PM , 1
YT , 1
MS , 1
KP , 1
IO , 1
AX , 1
WF , 1
GL , 1
ER , 1
NU , 1
HM , 0
GS , 0
PN , 0
AQ , 0
CX , 0
SH , 0
TF , 0
SJ , 0
EH , 0
CC , 0
UM , 0
BV , 0
~~~ DONE! ~~~
