,hijacker_asn,109.122.0.0/20,109.122.56.0/21,171.25.168.0/22,176.110.0.0/19,176.120.112.0/21,176.126.60.0/22,178.215.176.0/20,178.23.136.0/21,185.12.112.0/22,185.136.134.0/24,185.145.104.0/22,185.15.4.0/22,185.183.108.0/22,185.2.108.0/22,185.20.216.0/22,185.204.24.0/22,185.250.20.0/22,185.29.252.0/22,185.38.72.0/22,188.190.224.0/19,188.64.141.0/24,193.104.58.0/24,193.107.136.0/22,193.109.168.0/22,193.111.126.0/23,193.111.239.0/24,193.111.6.0/23,193.151.240.0/22,193.151.56.0/22,193.19.184.0/22,193.201.105.0/24,193.28.184.0/24,193.28.87.0/24,193.34.154.0/23,193.34.96.0/22,193.37.141.0/24,193.53.89.0/24,193.8.46.0/23,194.0.131.0/24,194.187.208.0/22,194.187.30.0/23,194.247.174.0/23,194.28.4.0/22,194.30.170.0/24,194.35.60.0/22,194.48.209.0/24,194.50.81.0/24,194.79.8.0/22,195.170.179.0/24,195.22.140.0/23,195.238.92.0/23,195.26.16.0/23,195.49.164.0/22,195.60.70.0/23,195.66.211.0/24,195.69.176.0/22,195.78.38.0/23,195.8.40.0/23,195.85.219.0/24,195.95.206.0/23,212.3.96.0/19,213.133.160.0/19,213.186.96.0/19,31.135.176.0/21,31.24.81.0/24,31.43.180.0/22,45.12.0.0/22,45.14.28.0/22,45.156.36.0/22,46.252.208.0/20,5.183.200.0/22,62.216.32.0/19,77.120.60.0/22,78.31.177.0/24,80.73.0.0/20,85.114.192.0/19,85.209.120.0/22,91.192.160.0/22,91.200.52.0/22,91.206.167.0/24,91.208.116.0/24,91.208.153.0/24,91.209.193.0/24,91.216.106.0/24,91.220.253.0/24,91.223.223.0/24,91.223.97.0/24,91.228.12.0/22,91.228.146.0/23,91.231.182.0/24,91.237.119.0/24,91.237.250.0/24,91.239.74.0/24,91.245.72.0/21,91.246.128.0/19,93.175.224.0/20,94.100.208.0/20,94.231.176.0/20,94.232.72.0/21,95.214.40.0/22,success_chance
0,12823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
1,13004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
2,13091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
3,13092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
4,13303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
5,15832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
6,15926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,15958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
8,15982,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
9,196886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
