wins
hijacker_asn,hijacked_prefix,HPP,AS_Path,Origin_Type,time,default
23673,184.171.0.0/170,0,0,0,0,0
34984,184.171.0.0/170,0,0,0,0,0
25435,184.171.0.0/170,0,0,0,0,0
60503,184.171.0.0/170,1,0,0,0,0
1299,184.171.0.0/170,0,0,0,0,0
265080,184.171.0.0/170,0,0,0,0,0
133841,184.171.0.0/170,0,0,0,0,0
136255,184.171.0.0/170,0,0,0,0,0
7473,184.171.0.0/170,0,0,0,0,0
43352,184.171.0.0/170,0,0,0,0,0
6461,184.171.0.0/170,0,0,0,0,0
16509,184.171.0.0/170,0,0,0,0,0
4800,184.171.0.0/170,0,0,0,0,0
6453,184.171.0.0/170,0,0,0,0,0
3356,184.171.0.0/170,0,0,0,0,0
174,184.171.0.0/170,0,0,0,0,0
268746,184.171.0.0/170,0,0,0,0,0
13904,184.171.0.0/170,0,0,0,0,0
5511,184.171.0.0/170,0,0,0,0,0
29075,184.171.0.0/170,0,0,0,0,0
2914,184.171.0.0/170,0,0,0,0,0
43350,184.171.0.0/170,0,0,0,0,0
6762,184.171.0.0/170,0,0,0,0,0
9304,184.171.0.0/170,0,0,0,0,0
4635,184.171.0.0/170,0,0,0,0,0
23673,141.193.213.0/241,0,0,0,0,0
34984,141.193.213.0/241,0,0,0,0,0
25435,141.193.213.0/241,0,0,0,0,0
60503,141.193.213.0/241,0,0,0,0,0
1299,141.193.213.0/241,0,0,0,0,0
265080,141.193.213.0/241,0,0,0,0,0
133841,141.193.213.0/241,0,0,0,0,0
136255,141.193.213.0/241,0,0,0,0,0
7473,141.193.213.0/241,0,0,0,0,0
43352,141.193.213.0/241,0,0,0,0,0
6461,141.193.213.0/241,0,0,0,0,0
16509,141.193.213.0/241,0,0,0,0,0
4800,141.193.213.0/241,0,0,0,0,0
6453,141.193.213.0/241,0,0,0,0,0
3356,141.193.213.0/241,0,0,0,0,0
174,141.193.213.0/241,0,0,0,0,0
268746,141.193.213.0/241,0,0,0,0,0
13904,141.193.213.0/241,0,0,0,0,0
5511,141.193.213.0/241,0,0,0,0,0
29075,141.193.213.0/241,0,0,0,0,0
2914,141.193.213.0/241,0,0,0,0,0
43350,141.193.213.0/241,0,0,0,0,0
6762,141.193.213.0/241,0,0,0,0,0
9304,141.193.213.0/241,0,0,0,0,0
4635,141.193.213.0/241,0,0,0,0,0
23673,52.24.0.0/140,0,0,0,1,0
34984,52.24.0.0/140,1,0,0,0,0
25435,52.24.0.0/140,1,0,0,0,0
60503,52.24.0.0/140,1,0,0,0,0
1299,52.24.0.0/140,0,0,0,1,0
265080,52.24.0.0/140,1,0,0,0,0
133841,52.24.0.0/140,1,0,0,0,0
136255,52.24.0.0/141,0,0,0,0,0
7473,52.24.0.0/140,0,0,0,1,0
43352,52.24.0.0/140,1,0,0,0,0
6461,52.24.0.0/140,0,0,0,1,0
16509,52.24.0.0/140,1,0,0,0,0
4800,52.24.0.0/141,0,0,0,0,0
6453,52.24.0.0/140,0,0,0,0,0
3356,52.24.0.0/140,0,0,0,1,0
174,52.24.0.0/141,0,0,0,0,0
268746,52.24.0.0/140,1,0,0,0,0
13904,52.24.0.0/140,1,0,0,0,0
5511,52.24.0.0/140,1,0,0,0,0
29075,52.24.0.0/140,0,0,0,0,0
2914,52.24.0.0/140,0,0,0,0,0
43350,52.24.0.0/140,0,0,0,0,0
6762,52.24.0.0/140,0,0,0,0,0
9304,52.24.0.0/141,0,0,0,0,0
4635,52.24.0.0/141,0,0,0,0,0
23673,129.123.0.0/160,0,0,0,0,0
34984,129.123.0.0/160,0,0,0,0,0
25435,129.123.0.0/160,5,0,0,0,0
60503,129.123.0.0/160,5,0,0,0,0
1299,129.123.0.0/160,0,0,0,0,0
265080,129.123.0.0/160,5,0,0,0,0
133841,129.123.0.0/160,5,0,0,0,0
136255,129.123.0.0/164,0,0,0,0,0
7473,129.123.0.0/160,0,0,0,0,0
43352,129.123.0.0/160,5,0,0,0,0
