wins
hijacker_asn,hijacked_prefix,num_benign_updates,HPP,AS_Path,Origin_Type,time,default
174,184.171.0.0/17,10,0,0,0,0,0
5511,184.171.0.0/17,10,0,0,0,0,0
30844,184.171.0.0/17,10,0,0,0,0,0
3356,184.171.0.0/17,10,0,0,0,0,0
208485,184.171.0.0/17,10,0,0,0,0,0
37294,184.171.0.0/17,10,0,0,0,0,0
30619,184.171.0.0/17,10,0,0,0,0,0
139820,184.171.0.0/17,10,0,0,0,0,0
3257,184.171.0.0/17,10,0,0,0,0,0
17557,184.171.0.0/17,10,0,0,0,0,0
134094,184.171.0.0/17,10,0,0,0,0,0
9121,184.171.0.0/17,10,0,0,0,0,0
51559,184.171.0.0/17,10,0,0,0,0,0
150311,184.171.0.0/17,11,0,0,0,0,0
1299,184.171.0.0/17,10,0,0,0,0,0
6453,184.171.0.0/17,10,0,0,0,0,0
2914,184.171.0.0/17,10,0,0,0,0,0
37329,184.171.0.0/17,10,0,0,0,0,0
37662,184.171.0.0/17,10,0,0,0,0,0
212477,184.171.0.0/17,10,0,0,0,0,0
37183,184.171.0.0/17,11,0,0,0,0,0
37204,184.171.0.0/17,10,0,0,0,0,0
4788,184.171.0.0/17,11,0,0,0,0,0
174,141.193.213.0/24,11,0,0,0,0,0
5511,141.193.213.0/24,11,0,0,0,0,0
30844,141.193.213.0/24,11,0,0,0,0,0
3356,141.193.213.0/24,11,0,0,0,0,0
208485,141.193.213.0/24,11,0,0,0,0,0
37294,141.193.213.0/24,11,0,0,0,0,0
30619,141.193.213.0/24,11,0,0,0,0,0
139820,141.193.213.0/24,11,0,0,0,0,0
3257,141.193.213.0/24,11,0,0,0,0,0
17557,141.193.213.0/24,11,0,0,0,0,0
134094,141.193.213.0/24,11,0,0,0,0,0
9121,141.193.213.0/24,11,0,0,0,0,0
51559,141.193.213.0/24,11,0,0,0,0,0
150311,141.193.213.0/24,11,0,0,0,0,0
1299,141.193.213.0/24,11,0,0,0,0,0
6453,141.193.213.0/24,11,0,0,0,0,0
2914,141.193.213.0/24,11,0,0,0,0,0
37329,141.193.213.0/24,11,0,0,0,0,0
37662,141.193.213.0/24,11,0,0,0,0,0
212477,141.193.213.0/24,11,0,0,0,0,0
37183,141.193.213.0/24,11,0,0,0,0,0
37204,141.193.213.0/24,11,0,0,0,0,0
174,52.24.0.0/14,10,0,0,0,1,0
208485,52.24.0.0/14,10,1,0,0,0,0
37294,52.24.0.0/14,10,1,0,0,0,0
30619,52.24.0.0/14,10,1,0,0,0,0
139820,52.24.0.0/14,10,1,0,0,0,0
3257,52.24.0.0/14,10,0,0,0,0,0
17557,52.24.0.0/14,10,0,0,0,1,0
134094,52.24.0.0/14,10,1,0,0,0,0
9121,52.24.0.0/14,10,0,0,0,1,0
51559,52.24.0.0/14,10,1,0,0,0,0
150311,52.24.0.0/14,11,0,0,0,0,0
1299,52.24.0.0/14,10,0,0,0,1,0
2914,52.24.0.0/14,10,0,0,0,0,0
37329,52.24.0.0/14,10,1,0,0,0,0
37662,52.24.0.0/14,10,1,0,0,0,0
212477,52.24.0.0/14,10,1,0,0,0,0
37183,52.24.0.0/14,11,0,0,0,0,0
37204,52.24.0.0/14,10,1,0,0,0,0
4788,52.24.0.0/14,11,0,0,0,0,0
174,129.123.0.0/16,50,0,0,0,0,0
5511,129.123.0.0/16,50,0,0,0,0,0
30844,129.123.0.0/16,50,0,0,0,0,0
3356,129.123.0.0/16,50,0,0,0,0,0
208485,129.123.0.0/16,50,5,0,0,0,0
30619,129.123.0.0/16,50,0,0,0,0,0
139820,129.123.0.0/16,50,5,0,0,0,0
3257,129.123.0.0/16,50,0,0,0,0,0
17557,129.123.0.0/16,50,0,0,0,0,0
134094,129.123.0.0/16,50,5,0,0,0,0
9121,129.123.0.0/16,50,0,0,0,0,0
150311,129.123.0.0/16,55,0,0,0,0,0
1299,129.123.0.0/16,50,0,0,0,0,0
6453,129.123.0.0/16,50,0,0,0,0,0
2914,129.123.0.0/16,50,0,0,0,0,0
37329,129.123.0.0/16,50,0,0,0,0,0
37662,129.123.0.0/16,50,5,0,0,0,0
37183,129.123.0.0/16,55,0,0,0,0,0
37204,129.123.0.0/16,50,0,0,0,0,0
4788,129.123.0.0/16,55,0,0,0,0,0
5511,151.101.128.0/22,10,0,0,0,1,0
30844,151.101.128.0/22,10,0,0,0,1,0
3356,151.101.128.0/22,10,0,0,0,1,0
208485,151.101.128.0/22,10,1,0,0,0,0
37294,151.101.128.0/22,10,1,0,0,0,0
30619,151.101.128.0/22,10,1,0,0,0,0
139820,151.101.128.0/22,10,1,0,0,0,0
3257,151.101.128.0/22,10,0,0,0,0,0
134094,151.101.128.0/22,10,1,0,0,0,0
51559,151.101.128.0/22,10,1,0,0,0,0
150311,151.101.128.0/22,11,0,0,0,0,0
6453,151.101.128.0/22,10,0,0,0,1,0
