hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
45062,3.4188034188034186,8,0,226,1,8
59019,3.2051282051282053,6,3,225,1,12
131486,1.9230769230769231,3,3,228,1,7
63646,2.1367521367521367,4,2,228,1,6
45090,7.264957264957265,16,2,216,1,21
4134,90.38461538461539,209,5,20,1,320
55990,5.555555555555555,12,2,220,1,19
59067,1.4957264957264957,3,1,230,1,3
59078,1.9230769230769231,3,3,228,1,8
4809,48.07692307692308,6,213,15,1,333
137801,1.9230769230769231,4,1,229,1,5
37963,5.982905982905983,13,2,219,1,19
56011,1.7094017094017093,3,2,229,1,4
56019,1.0683760683760684,2,1,231,1,4
9308,2.1367521367521367,3,4,227,1,4
38365,3.4188034188034186,7,2,225,1,13
63582,1.9230769230769231,3,3,228,1,4
133865,21.794871794871796,8,86,140,1,35
4847,46.58119658119658,3,212,19,1,76
137718,2.9914529914529915,6,2,226,1,11
4837,47.863247863247864,3,218,13,2,134
4808,8.760683760683762,2,37,195,2,98
56041,2.3504273504273505,2,7,225,2,9
23724,50.21367521367522,1,233,0,2,20
9808,48.504273504273506,3,221,10,2,54
134169,4.914529914529915,1,21,212,2,6
58461,46.15384615384615,1,214,19,2,9
58466,47.43589743589744,1,220,13,2,10
4811,47.22222222222222,1,219,14,2,14
58542,46.58119658119658,1,216,17,2,4
38283,46.36752136752137,1,215,18,2,9
134420,46.15384615384615,1,214,19,2,2
4290010055,3.6324786324786325,1,15,218,2,1
4816,46.58119658119658,1,216,17,2,4
65500,15.384615384615385,1,70,163,2,30
134756,46.15384615384615,1,214,19,2,2
131574,4.273504273504273,1,18,215,2,3
36868,48.07692307692308,15,195,24,2,95
36874,48.29059829059829,16,194,24,2,128
45102,50.85470085470085,28,182,24,2,216
137266,44.87179487179487,1,208,25,2,2
36916,47.22222222222222,11,199,24,2,89
200780,51.495726495726494,31,179,24,2,1043
327782,47.22222222222222,12,197,25,2,92
22652,47.22222222222222,11,199,24,2,488
36994,50.64102564102564,27,183,24,2,213
4230,46.794871794871796,10,199,25,2,604
8359,51.92307692307692,33,177,24,2,847
139462,44.87179487179487,1,208,25,2,1
8426,51.70940170940171,32,178,24,2,528
28917,52.35042735042735,35,175,24,2,2006
131325,44.87179487179487,1,208,25,2,1
327950,45.72649572649573,5,204,25,2,24
151823,44.87179487179487,1,208,25,2,1
6421,45.085470085470085,2,207,25,2,45
20764,54.05982905982906,43,167,24,2,2018
37153,45.94017094017094,6,203,25,2,46
20771,45.72649572649573,5,204,25,2,67
37157,45.72649572649573,5,204,25,2,22
59689,47.22222222222222,12,197,25,2,114
327979,45.94017094017094,6,203,25,2,19
37168,45.94017094017094,6,203,25,2,25
31025,51.282051282051285,30,180,24,2,765
139587,44.87179487179487,1,208,25,2,1
149837,44.87179487179487,1,208,25,2,1
63838,44.87179487179487,1,208,25,2,1
141679,44.87179487179487,1,208,25,2,1
29075,54.27350427350427,44,166,24,2,1923
31133,52.35042735042735,35,175,24,2,1464
141739,44.87179487179487,1,208,25,2,1
328112,48.29059829059829,16,194,24,2,102
211392,44.87179487179487,1,208,25,2,3
37315,45.72649572649573,5,204,25,2,26
139721,45.085470085470085,1,209,24,2,4
328137,45.72649572649573,5,204,25,2,39
141771,44.87179487179487,1,208,25,2,1
137686,44.87179487179487,1,208,25,2,2
137687,44.87179487179487,1,208,25,2,1
137688,44.87179487179487,1,208,25,2,1
137689,44.87179487179487,1,208,25,2,1
137690,44.87179487179487,1,208,25,2,1
149979,44.87179487179487,1,208,25,2,1
137691,44.87179487179487,1,208,25,2,2
137692,44.87179487179487,1,208,25,2,1
137694,44.87179487179487,1,208,25,2,1
137697,45.085470085470085,2,207,25,2,2
137698,44.87179487179487,1,208,25,2,1
137699,44.87179487179487,1,208,25,2,1
137702,45.085470085470085,2,207,25,2,2
37356,45.72649572649573,5,204,25,2,26
133613,45.51282051282051,4,205,25,2,56
139767,44.87179487179487,1,208,25,2,1
25091,55.55555555555556,50,160,24,2,2973
55818,50.0,24,186,24,2,262
6667,48.504273504273506,17,193,24,2,467
29222,47.863247863247864,15,194,25,2,236
2603,50.21367521367522,25,185,24,2,509
64050,46.15384615384615,7,202,25,2,87
47692,51.282051282051285,30,180,24,2,931
139887,44.87179487179487,1,208,25,2,1
37497,50.0,25,184,25,2,535
150145,44.87179487179487,1,208,25,2,1
133775,44.87179487179487,1,208,25,2,1
680,47.22222222222222,11,199,24,2,313
4780,45.94017094017094,6,203,25,2,79
141998,44.87179487179487,1,208,25,2,1
328366,47.43589743589744,12,198,24,2,101
45753,45.085470085470085,2,207,25,2,16
4835,44.87179487179487,1,208,25,2,2
13030,51.06837606837607,29,181,24,2,846
37650,45.94017094017094,6,203,25,2,23
9002,58.333333333333336,61,151,22,2,3276
37680,51.70940170940171,32,178,24,2,590
140083,44.87179487179487,1,208,25,2,18
142135,44.87179487179487,1,208,25,2,8
21320,46.58119658119658,9,200,25,2,153
9049,45.94017094017094,6,203,25,2,592
9050,52.77777777777778,37,173,24,2,1504
11158,44.87179487179487,1,208,25,2,33
21412,50.85470085470085,28,182,24,2,788
138169,44.87179487179487,1,208,25,2,1
58299,51.495726495726494,31,179,24,2,1689
140224,45.2991452991453,3,206,25,2,57
140265,44.87179487179487,1,208,25,2,1
140276,44.87179487179487,1,208,25,2,1
140278,44.87179487179487,1,208,25,2,1
140279,44.87179487179487,1,208,25,2,1
136188,44.87179487179487,1,208,25,2,1
136191,44.87179487179487,1,208,25,2,1
136192,44.87179487179487,1,208,25,2,1
17408,45.94017094017094,6,203,25,2,119
136194,44.87179487179487,1,208,25,2,1
136195,45.72649572649573,1,212,21,2,3
140292,45.085470085470085,2,207,25,2,2
136197,44.87179487179487,1,208,25,2,1
136199,44.87179487179487,1,208,25,2,2
136200,44.87179487179487,1,208,25,2,2
140310,44.87179487179487,1,208,25,2,1
140312,44.87179487179487,1,208,25,2,1
140313,44.87179487179487,1,208,25,2,1
140314,44.87179487179487,1,208,25,2,1
140315,44.87179487179487,1,208,25,2,1
140316,44.87179487179487,1,208,25,2,1
140317,44.87179487179487,1,208,25,2,2
140329,44.87179487179487,1,208,25,2,1
140330,44.87179487179487,1,208,25,2,10
132147,44.87179487179487,1,208,25,2,1
9269,49.78632478632478,23,187,24,2,176
132153,44.87179487179487,1,208,25,2,1
140345,44.87179487179487,1,208,25,2,17
142404,44.87179487179487,1,208,25,2,1
9294,45.085470085470085,2,207,25,2,8
134238,44.87179487179487,1,208,25,2,13
52320,53.84615384615385,42,168,24,2,1975
23650,45.51282051282051,4,205,25,2,19
33891,56.41025641025641,52,160,22,2,1877
9381,49.572649572649574,22,188,24,2,241
58539,44.87179487179487,1,208,25,2,1
58540,44.87179487179487,1,208,25,2,2
58541,44.87179487179487,1,208,25,2,2
58563,45.51282051282051,1,211,22,2,5
140485,45.085470085470085,2,207,25,2,14
140486,44.87179487179487,1,208,25,2,1
58571,44.87179487179487,1,208,25,2,1
140494,45.085470085470085,2,207,25,2,2
17633,44.87179487179487,1,208,25,2,1
17638,44.87179487179487,1,208,25,2,2
1257,46.794871794871796,10,199,25,2,336
140527,44.87179487179487,1,208,25,2,1
1267,52.99145299145299,38,172,24,2,1175
19711,50.0,24,186,24,2,167
58627,45.085470085470085,2,207,25,2,15
140553,44.87179487179487,1,208,25,2,1
142608,44.87179487179487,1,208,25,2,1
134419,44.87179487179487,1,208,25,2,1
134425,44.87179487179487,1,208,25,2,1
23839,44.87179487179487,1,208,25,2,1
9505,47.00854700854701,10,200,24,2,130
138570,44.87179487179487,1,208,25,2,1
132437,44.87179487179487,1,208,25,2,1
140636,44.87179487179487,1,208,25,2,1
146788,45.085470085470085,1,209,24,2,14
140647,44.87179487179487,1,208,25,2,11
17799,44.87179487179487,1,208,25,2,2
134548,45.085470085470085,2,207,25,2,22
58772,44.87179487179487,1,208,25,2,1
58777,45.085470085470085,1,209,24,2,2
50628,47.863247863247864,14,196,24,2,457
50629,53.63247863247863,41,169,24,2,1746
15830,54.7008547008547,46,164,24,2,2788
13786,47.22222222222222,11,199,24,2,614
148969,44.87179487179487,1,208,25,2,1
17897,44.87179487179487,1,208,25,2,1
44530,46.58119658119658,9,200,25,2,49
148981,44.87179487179487,1,208,25,2,2
146966,44.87179487179487,1,208,25,2,1
7738,45.72649572649573,5,204,25,2,210
11845,48.07692307692308,16,193,25,2,103
18013,45.2991452991453,3,206,25,2,28
147038,44.87179487179487,1,208,25,2,1
140903,44.87179487179487,1,208,25,2,1
134766,44.87179487179487,1,208,25,2,2
134768,44.87179487179487,1,208,25,2,11
134769,44.87179487179487,1,208,25,2,1
134770,44.87179487179487,1,208,25,2,1
134771,44.87179487179487,1,208,25,2,1
134772,44.87179487179487,1,208,25,2,2
134774,45.2991452991453,1,210,23,2,6
134775,44.87179487179487,1,208,25,2,1
56987,51.495726495726494,31,179,24,2,1488
32437,49.78632478632478,24,185,25,2,548
149178,44.87179487179487,1,208,25,2,1
9924,46.15384615384615,7,202,25,2,101
138949,44.87179487179487,1,208,25,2,1
138950,45.94017094017094,1,213,20,2,4
38623,45.2991452991453,3,206,25,2,52
132833,44.87179487179487,1,208,25,2,1
141025,44.87179487179487,1,208,25,2,2
1764,51.70940170940171,32,178,24,2,1286
399077,45.72649572649573,5,204,25,2,54
138982,44.87179487179487,1,208,25,2,1
132839,44.87179487179487,1,208,25,2,5
