hijacker ASN,AVG,success, partial, failure,linkLevel
9735,0.4048582995951417,2,0,492,1
21000,0.8097165991902834,4,0,490,1
11273,0.708502024291498,3,1,490,1
29197,6.882591093117409,3,62,429,1
198166,0.6072874493927125,2,2,490,1
4637,64.17004048582996,305,24,165,1
34852,0.4048582995951417,2,0,492,1
4648,32.69230769230769,4,315,175,1
397352,1.0121457489878543,2,6,486,1
131628,4.757085020242915,3,41,450,1
10798,4.352226720647773,5,33,456,1
263727,0.8097165991902834,4,0,490,1
141364,0.4048582995951417,2,0,492,1
141367,2.0242914979757085,2,16,476,1
5693,14.271255060728745,11,119,364,1
12349,1.6194331983805668,2,12,480,1
17983,1.214574898785425,2,8,484,1
577,32.69230769230769,4,315,175,1
2639,23.076923076923077,4,220,270,1
398416,7.186234817813765,2,67,425,1
202837,0.4048582995951417,2,0,492,1
37468,39.77732793522267,48,297,149,1
35937,7.287449392712551,5,62,427,1
149603,9.919028340080972,2,94,398,1
150115,0.4048582995951417,2,0,492,1
7270,19.534412955465587,2,189,303,1
211049,0.4048582995951417,2,0,492,1
46186,7.08502024291498,2,66,426,1
12400,29.352226720647774,26,238,230,1
28791,0.4048582995951417,2,0,492,1
37497,24.696356275303643,4,236,254,1
141435,1.1133603238866396,2,7,485,1
327804,22.874493927125506,4,218,272,1
125,16.700404858299596,3,159,332,1
23167,0.4048582995951417,2,0,492,1
48768,19.838056680161944,2,192,300,1
328320,22.57085020242915,4,215,275,1
56460,0.8097165991902834,4,0,490,1
29325,0.4048582995951417,2,0,492,1
1680,29.149797570850204,26,236,232,1
12956,33.097165991902834,5,317,172,1
199836,0.4048582995951417,2,0,492,1
396450,0.708502024291498,2,3,489,1
8867,3.1376518218623484,2,27,465,1
15529,0.4048582995951417,2,0,492,1
22699,0.4048582995951417,2,0,492,1
42156,20.141700404858298,11,177,306,1
25773,23.481781376518217,4,224,266,1
174,38.96761133603239,81,223,190,1
142510,0.6072874493927125,2,2,490,1
394923,11.94331983805668,2,114,378,1
21169,0.4048582995951417,2,0,492,1
11956,0.8097165991902834,3,2,489,1
38580,31.17408906882591,2,304,188,1
32437,22.975708502024293,4,219,271,1
3257,45.1417004048583,87,272,135,1
208058,2.2267206477732793,2,18,474,1
12988,3.1376518218623484,2,27,465,1
45761,0.5060728744939271,2,1,491,1
1221,32.89473684210526,10,305,179,1
136907,32.18623481781376,28,262,204,1
48846,22.672064777327936,5,214,275,1
27343,0.4048582995951417,2,0,492,1
6352,4.4534412955465585,2,40,452,1
48851,24.291497975708502,3,234,257,1
394453,5.2631578947368425,2,48,444,1
4826,28.74493927125506,9,266,219,1
38622,19.129554655870447,3,183,308,1
3295,5.668016194331984,2,52,440,1
3296,1.3157894736842106,2,9,483,1
3298,1.214574898785425,2,8,484,1
3299,1.3157894736842106,2,9,483,1
399076,3.0364372469635628,2,26,466,1
52451,0.4048582995951417,2,0,492,1
18662,0.4048582995951417,2,0,492,1
34022,0.708502024291498,2,3,489,1
29928,6.882591093117409,2,64,428,1
47846,10.82995951417004,2,103,389,1
197872,3.1376518218623484,2,27,465,1
9457,22.36842105263158,4,213,277,1
200946,1.0121457489878543,2,6,486,1
13043,6.376518218623482,2,59,433,1
14074,0.5060728744939271,2,1,491,1
31997,8.603238866396762,3,79,412,1
14080,18.218623481781375,2,176,316,1
207106,3.1376518218623484,2,27,465,1
15625,1.8218623481781377,2,14,478,1
8971,4.65587044534413,2,42,450,1
133900,12.753036437246964,2,122,370,1
43794,6.275303643724697,2,58,434,1
1299,40.78947368421053,64,275,155,1
327960,23.076923076923077,4,220,270,1
9498,44.73684210526316,95,252,147,1
6939,52.73279352226721,158,205,131,1
3356,43.7246963562753,64,304,126,1
19229,25.20242914979757,6,237,251,1
328474,21.761133603238868,4,207,283,1
42790,5.060728744939271,2,46,446,1
9002,45.1417004048583,107,232,155,1
812,24.089068825910932,3,232,259,1
