ROUTEVIEWS COLLECTOR,        AS NUMBER,               PEERING ADDRESS,PREFIXES
amsix.ams,1103,                 80.249.208.34,946941
amsix.ams,34177,                 80.249.210.38,941126
amsix.ams,271253,                 80.249.210.48,935696
amsix.ams,213241,                80.249.211.162,836875
amsix.ams,398465,                 80.249.212.41,939331
amsix.ams,37271,                 80.249.213.52,943700
amsix.ams,328832,                 80.249.213.88,939507
amsix.ams,28283,                80.249.214.120,1255
amsix.ams,6204,                80.249.214.200,944334
amsix.ams,1103,       2001:7f8:1::a500:1103:2,196107
amsix.ams,6204,       2001:7f8:1::a502:5198:1,196746
amsix.ams,28283,       2001:7f8:1::a502:8283:1,492
amsix.ams,34177,       2001:7f8:1::a503:4177:1,201377
amsix.ams,37271,       2001:7f8:1::a503:7271:1,196422
amsix.ams,213241,   2001:7f8:1:0:a500:21:3241:1,188001
amsix.ams,271253,   2001:7f8:1:0:a500:27:1253:1,22429
amsix.ams,328832,   2001:7f8:1:0:a500:32:8832:1,192853
amsix.ams,398465,   2001:7f8:1:0:a500:39:8465:1,199857
decix.jhb,38175,               103.119.232.252,345
decix.jhb,38175,               103.119.233.252,345
decix.jhb,13335,                103.119.234.13,4193
decix.jhb,56286,                103.119.234.56,11
decix.jhb,56140,                103.119.234.59,4
decix.jhb,38194,               103.119.234.252,92052
decix.jhb,38194,               103.119.234.253,92052
decix.jhb,56286,                103.162.254.56,11
decix.jhb,199524,               103.162.254.114,945314
decix.jhb,38137,               103.162.254.252,109849
decix.jhb,38137,               103.162.254.253,109850
decix.jhb,38137,        2001:df6:480::94f9:a:1,53284
decix.jhb,38137,        2001:df6:480::94f9:a:2,53284
decix.jhb,56286,        2001:df6:480::dbde:0:1,5
decix.jhb,199524,      2001:df6:480:0:3:b64:0:1,205723
decix.jhb,38175,           2403:4ac0::951f:a:1,90
decix.jhb,38175,           2403:4ac0::951f:a:2,90
decix.jhb,13335,         2403:4ac0:1::3417:0:1,226
decix.jhb,38194,         2403:4ac0:1::9532:a:1,52360
decix.jhb,38194,         2403:4ac0:1::9532:a:2,52360
decix.jhb,56140,         2403:4ac0:1::db4c:0:1,1
decix.jhb,56286,         2403:4ac0:1::dbde:0:1,5
iraq-ixp.bgw,211100,                  128.0.45.252,86
iraq-ixp.bgw,211100,                  128.0.45.253,82
iraq-ixp.bgw,211100,      2a10:fa42:0:6:3:389c:a:1,56
