hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
57344,10.752903484181017,166,205,2126,1,371
196610,4.405286343612334,5,210,2282,1,142
204805,3.4241089307168604,13,145,2339,1,94
49158,3.3239887865438527,2,162,2333,1,80
57353,3.68442130556668,2,180,2315,1,99
57356,3.4641569883860632,4,165,2328,1,85
196624,1.922306768121746,3,90,2404,1,20
24594,3.6243492190628754,3,175,2319,1,96
32787,22.286744092911494,421,271,1805,1,984
213015,2.1625951141369644,4,100,2393,1,33
49176,4.20504605526632,11,188,2298,1,45
8218,29.73568281938326,29,1427,1041,1,1685
49183,3.9447336804165,3,191,2303,1,120
213028,2.5430516619943933,2,123,2372,1,49
40999,3.4040849018822588,10,150,2337,1,87
41000,3.6643972767320787,2,179,2316,1,96
42,7.949539447336804,48,301,2148,1,406
213035,3.02362835402483,13,125,2359,1,59
213045,2.563075690828995,5,118,2374,1,66
8245,4.305166199439327,7,201,2289,1,137
57401,2.182619142971566,4,101,2392,1,34
213052,3.7845414497396876,14,161,2322,1,109
24637,4.525430516619944,3,220,2274,1,150
213054,3.303964757709251,2,161,2334,1,81
57406,34.48137765318382,14,1694,789,1,1419
24640,1.3616339607529035,2,64,2431,1,20
57407,2.022426912294754,3,95,2399,1,25
8262,7.348818582298758,33,301,2163,1,262
41033,3.9647577092511015,2,194,2301,1,134
139341,6.0072086503804565,25,250,2222,1,283
204881,4.044853824589508,2,198,2297,1,115
204882,0.6207448938726472,2,27,2468,1,4
213075,3.3440128153784543,4,159,2334,1,90
41047,39.4673608329996,32,1907,558,1,2952
8282,3.4641569883860632,4,165,2328,1,90
8283,5.826992390869043,30,231,2236,1,224
41051,7.649179014817781,6,370,2121,1,375
32864,1.6619943932719263,2,79,2416,1,6
213092,2.342811373648378,2,113,2382,1,41
213094,3.4641569883860632,2,169,2326,1,86
24679,3.9647577092511015,3,192,2302,1,111
32872,1.6619943932719263,2,79,2416,1,6
8298,40.88906688025631,23,1996,478,1,2135
196714,4.064877853424109,3,197,2297,1,129
8301,3.604325190228274,6,168,2323,1,101
8302,4.925911093311974,13,220,2264,1,160
57455,3.4441329595514616,2,168,2327,1,93
112,4.705646776131358,33,169,2295,1,177
8304,5.326391670004004,22,222,2253,1,187
24691,3.644373247897477,10,162,2325,1,113
8308,4.525430516619944,5,216,2276,1,205
8309,17.721265518622346,20,845,1632,1,814
57463,6.688025630756909,21,292,2184,1,263
8315,13.976772126551863,17,664,1816,1,290
204926,1.5218261914297158,2,72,2423,1,4
8319,3.8245895074088905,3,185,2309,1,115
327814,4.044853824589508,13,176,2308,1,133
213127,2.0824989987985583,2,100,2395,1,29
49296,1.9823788546255507,3,93,2401,1,21
41107,3.3239887865438527,2,162,2333,1,84
24723,4.024829795754906,2,197,2298,1,134
24724,7.028434120945134,14,323,2160,1,728
8339,4.084901882258711,9,186,2302,1,131
41114,4.545454545454546,11,205,2281,1,143
213151,30.65678814577493,3,1525,969,1,1067
32934,8.430116139367241,47,327,2123,1,401
8359,15.93912695234281,18,760,1719,1,848
16552,5.806968362034441,21,248,2228,1,249
49321,3.564277132559071,2,174,2321,1,95
57512,2.923508209851822,4,138,2355,1,81
213164,0.12014417300760913,3,0,2494,1,4
8365,5.006007208650381,18,214,2265,1,174
174,19.403283940728876,28,913,1556,1,6778
8368,5.406487785342411,26,218,2253,1,208
57521,1.4016820184221066,5,60,2432,1,16
213171,2.262715258309972,2,109,2386,1,38
