top prefex per collector with dups
0 (36184, 'rrc12', '185.228.94.0/24') (35194, 'rrc12', '2a14:7581:4444::/48')
1 (29650, 'rrc03', '185.228.94.0/24') (32630, 'rrc25', '2a14:7581:4444::/48')
2 (28754, 'rrc25', '185.228.94.0/24') (29520, 'rrc03', '2a13:a5c3:1000::/36')
3 (24609, 'rrc01', '185.228.94.0/24') (28296, 'rrc00', '2602:feda:d64::/48')
4 (23600, 'rrc00', '185.228.94.0/24') (27913, 'rrc01', '2a14:7581:4444::/48')
5 (18800, 'route-views.amsix', '185.228.94.0/24') (22795, 'rrc20', '2a14:7581:4444::/48')
6 (15429, 'rrc20', '84.205.66.0/24') (20945, 'route-views.amsix', '2a14:7581:4444::/48')
7 (14841, 'route-views2', '185.228.94.0/24') (13886, 'rrc15', '2a05:dfc1:1b03::/48')
8 (14731, 'rrc21', '103.194.188.0/22') (13791, 'route-views.perth', '2400:58a0:1800::/44')
9 (14494, 'route-views.sg', '103.84.52.0/24') (13711, 'route-views4', '2602:feda:d64::/48')
10 (14047, 'route-views.eqix', '207.167.116.0/22') (13546, 'route-views.eqix', '2602:feda:d64::/48')
11 (14037, 'rrc15', '201.77.6.0/24') (13156, 'rrc21', '2a0e:b107:3e0::/48')
12 (13708, 'route-views4', '185.228.94.0/24') (11277, 'route-views.sg', '2602:feda:d64::/48')
13 (13545, 'route-views.linx', '103.84.52.0/24') (10650, 'route-views5', '2a10:ccc0:cccc::/46')
14 (13367, 'route-views3', '185.228.94.0/24') (10607, 'rrc05', '2a14:7581:4444::/48')
15 (12988, 'route-views.perth', '103.84.52.0/24') (10259, 'route-views.linx', '2a0f:5707:fff5::/48')
16 (10377, 'route-views.chicago', '207.167.116.0/22') (10226, 'route-views.sydney', '2400:58a0:1800::/44')
17 (10266, 'route-views5', '103.84.52.0/24') (9783, 'rrc24', '2a14:7581:4444::/48')
18 (9881, 'rrc23', '103.84.52.0/24') (9260, 'route-views3', '2a14:7581:4444::/48')
19 (8906, 'rrc05', '103.84.52.0/24') (9214, 'route-views.flix', '2a14:7581:4444::/48')
20 (8364, 'route-views.sydney', '103.84.52.0/24') (8962, 'rrc23', '2a14:7581:4444::/48')
21 (6819, 'rrc11', '185.228.94.0/24') (8935, 'route-views.chicago', '2a14:7581:4444::/48')
22 (6452, 'rrc24', '103.84.52.0/24') (8707, 'rrc07', '2a14:7581:4444::/48')
23 (5978, 'route-views.isc', '185.228.94.0/24') (8642, 'rrc11', '2a14:7581:4444::/48')
24 (5914, 'rrc07', '185.228.94.0/24') (7030, 'rrc10', '2a14:7581:4444::/48')
25 (5459, 'rrc13', '103.84.52.0/24') (6863, 'rrc14', '2a0f:5707:fff5::/48')
26 (5388, 'rrc10', '181.225.43.0/24') (5592, 'route-views.telxatl', '2a14:7581:4444::/48')
27 (5214, 'route-views.flix', '185.228.94.0/24') (5033, 'route-views.rio', '2a0f:5707:fff5::/48')
28 (5187, 'rrc14', '207.167.116.0/22') (4900, 'rrc06', '2a14:7581:4444::/48')
29 (5096, 'route-views.rio', '207.167.116.0/22') (4636, 'route-views6', '2a0f:5707:fff5::/48')
30 (4716, 'rrc19', '196.223.29.0/24') (4563, 'rrc13', '2a14:7581:4444::/48')
31 (4230, 'route-views.telxatl', '185.228.94.0/24') (4131, 'route-views.kixp', '2a14:7581:4444::/48')
32 (3494, 'rrc06', '207.167.116.0/22') (4127, 'route-views.uaeix', '2a14:7581:4444::/48')
33 (3488, 'rrc04', '103.194.188.0/22') (4041, 'rrc16', '2a0f:5707:fff5::/48')
34 (3360, 'route-views.sfmix', '207.167.116.0/22') (3423, 'rrc04', '2a14:7581:4444::/48')
35 (3292, 'route-views.uaeix', '207.167.116.0/22') (3414, 'route-views.sfmix', '2a10:ccc0:cccc::/46')
36 (3221, 'rrc26', '207.167.116.0/22') (3162, 'route-views.isc', '2a14:7581:4444::/48')
37 (3072, 'route-views.kixp', '185.228.94.0/24') (2998, 'route-views.ny', '2a14:7581:4444::/48')
38 (2891, 'route-views.ny', '207.167.116.0/22') (2626, 'rrc26', '2a0f:5707:fff5::/48')
39 (2283, 'rrc16', '185.228.94.0/24') (2272, 'rrc19', '2a13:a5c3:1000::/36')
40 (2178, 'rrc22', '103.31.116.0/23') (2117, 'route-views.soxrs', '2a13:a5c3:1000::/36')
41 (1667, 'route-views.wide', '207.167.116.0/22') (1825, 'rrc22', '2a0f:5707:fff5::/48')
42 (1491, 'route-views.soxrs', '103.31.116.0/23') (678, 'route-views.bknix', '2a10:ccc0:cccc::/46')
43 (756, 'route-views.chile', '196.40.192.0/18') (319, 'rrc18', '2a0e:b107:3e0::/48')
44 (598, 'route-views.nwax', '172.98.48.0/22') (212, 'route-views.peru', '2620:171:80d::/48')
