top prefix per collector (no dups)
0 (36184, 'rrc12', '185.228.94.0/24') (35194, 'rrc12', '2a14:7581:4444::/48')
1 (29533, 'rrc03', '103.84.52.0/24') (30998, 'rrc25', '2602:feda:d64::/48')
2 (23546, 'rrc25', '207.167.116.0/22') (29520, 'rrc03', '2a13:a5c3:1000::/36')
3 (22165, 'rrc00', '181.225.43.0/24') (27861, 'rrc01', '2a0f:5707:fff5::/48')
4 (17657, 'rrc01', '84.205.66.0/24') (27207, 'rrc00', '2406:840:f890::/48')
5 (14731, 'rrc21', '103.194.188.0/22') (20384, 'rrc20', '2a0e:8f02:2230::/48')
6 (14037, 'rrc15', '201.77.6.0/24') (17526, 'route-views.amsix', '2001:7fb:ff02::/48')
7 (11779, 'rrc20', '181.225.48.0/24') (13886, 'rrc15', '2a05:dfc1:1b03::/48')
8 (11065, 'route-views.amsix', '196.40.192.0/18') (13791, 'route-views.perth', '2400:58a0:1800::/44')
9 (10966, 'route-views4', '130.137.230.0/24') (13156, 'rrc21', '2a0e:b107:3e0::/48')
10 (9459, 'route-views2', '103.209.92.0/24') (11725, 'route-views4', '2a10:ccc0:cccc::/46')
11 (9355, 'route-views.eqix', '103.31.116.0/23') (10658, 'route-views.eqix', '2a0f:7803:ffd1::/48')
12 (8061, 'route-views.perth', '172.98.48.0/22') (9313, 'route-views.sg', '2620:149:7008::/48')
13 (8042, 'route-views.linx', '195.177.202.0/23') (9236, 'route-views5', '2a05:dfc1:3200::/40')
14 (8036, 'route-views3', '103.209.93.0/24') (8415, 'route-views.sydney', '2620:149:6048::/48')
15 (6506, 'route-views.chicago', '165.254.3.0/24') (7557, 'rrc24', '2a13:df87:7000::/40')
16 (6461, 'route-views.sg', '183.90.160.0/24') (6912, 'rrc05', '2a13:df80:3b10::/48')
17 (6097, 'route-views5', '185.18.201.0/24') (6768, 'route-views.linx', '2402:e580:74ba::/48')
18 (5140, 'route-views.sydney', '130.137.12.0/24') (6340, 'route-views3', '2a05:dfc1:8d05::/48')
19 (4716, 'rrc19', '196.223.29.0/24') (5463, 'rrc11', '2602:fa1c:129::/48')
20 (4695, 'rrc05', '147.112.0.0/16') (5429, 'route-views.chicago', '2602:fed2:770a::/48')
21 (4443, 'rrc11', '191.243.24.0/21') (4806, 'rrc23', '2406:840:f895::/48')
22 (3926, 'rrc23', '130.137.108.0/24') (4555, 'rrc14', '2804:20fc:200::/40')
23 (3828, 'route-views.rio', '170.238.225.0/24') (4489, 'rrc07', '2a13:a000:2000::/36')
24 (3773, 'rrc10', '78.142.198.0/24') (4170, 'route-views.rio', '2a0c:4f42:8000::/38')
25 (3725, 'route-views.flix', '191.243.16.0/21') (3520, 'rrc10', '2402:e580:744f::/48')
26 (3457, 'rrc14', '143.255.204.0/22') (3118, 'route-views.flix', '2001:418:1406::/48')
27 (3217, 'rrc24', '186.170.29.0/24') (3052, 'route-views6', '2602:f9df:400::/48')
28 (3103, 'rrc07', '45.9.252.0/24') (2738, 'route-views.telxatl', '2402:e580:73ea::/48')
29 (2977, 'rrc06', '103.90.210.0/24') (2683, 'rrc06', '2406:840:e301::/48')
30 (2743, 'route-views.sfmix', '45.182.46.0/23') (2473, 'route-views.uaeix', '2001:4490:da70::/46')
31 (2728, 'route-views.isc', '143.255.59.0/24') (2427, 'rrc04', '2a0c:1040::/29')
32 (2637, 'rrc13', '193.4.5.0/24') (2379, 'rrc13', '2602:fc09:aa::/48')
33 (2426, 'route-views.telxatl', '64.68.236.0/22') (2105, 'route-views.kixp', '2401:2fa0::/32')
34 (2168, 'rrc26', '181.189.63.0/24') (1974, 'route-views.sfmix', '2602:814:f006::/48')
35 (2101, 'rrc04', '195.33.232.0/24') (1943, 'rrc16', '2402:e580:7452::/48')
36 (1897, 'route-views.uaeix', '199.47.232.0/22') (1912, 'route-views.ny', '2602:feda:d63::/48')
37 (1651, 'route-views.kixp', '172.68.56.0/24') (1632, 'route-views.isc', '2c0f:fbf0:11::/48')
38 (1463, 'route-views.ny', '206.168.161.0/24') (1580, 'rrc19', '2400:9380:83c0::/44')
39 (1448, 'route-views.wide', '103.134.215.0/24') (1552, 'rrc26', '2401:2720::/32')
40 (1302, 'rrc22', '176.62.30.0/24') (1235, 'rrc22', '2a06:8e40::/29')
41 (1189, 'rrc16', '61.237.12.0/22') (785, 'route-views.soxrs', '2a07:54c4:9800::/37')
42 (1147, 'route-views.soxrs', '185.154.152.0/22') (675, 'route-views.bknix', '2605:9cc0:c17::/48')
43 (701, 'route-views.chile', '211.98.26.0/24') (217, 'rrc18', '2a0d:2580:a000::/36')
44 (457, 'route-views.nwax', '208.181.104.0/24') (212, 'route-views.peru', '2620:171:80d::/48')
